cn,pinyin,vocabulary,pinyin_vocab,th,id1,sentence_test,translate
现,xiàn,出现,chū xiàn,ปรากฏขึ้น,469,他终于成功,ในที่สุดเขาก็ประสบความสำเร็จ
总,zǒng,总是,zǒng shì,เสมอ,470,这个问题不用担,ปัญหานี้ไม่ต้องกังวล
跟,gēn,跟着,gēn zhe,ตาม,471,天好像要下,ดูเหมือนฝนจะตก
柳,liǔ,柳树,liǔ shù,ต้นหลิว,472,原来你在这,ที่แท้คุณอยู่ที่นี่
芽,yá,发芽,fā yá,หน่อ,473,我喜欢吃青,ฉันชอบกินผัก
蚯,qiū,蚯蚓,qiū yǐn,ไส้เดือน,474,兔子爱吃萝,กระต่ายชอบกินแครอท
蚓,yǐn,蚯蚓,qiū yǐn,ไส้เดือน,475,妈妈买了新鲜萝,แม่ซื้อแครอทสดมา
蝴,hú,蝴蝶,hú dié,ผีเสื้อ,476,碗里有豆,ในชามมีถั่ว
蝶,dié,蝴蝶,hú dié,ผีเสื้อ,477,苹果又甜又,แอปเปิลทั้งหวานทั้ง
燕,yàn,燕子,yàn zi,นกนางแอ่น,478,桃子熟,ลูกพีชสุก
蜜,mì,蜜蜂,mì fēng,ผึ้ง,479,院子里有杏,ในลานบ้านมีต้นแอปริคอต
蜂,fēng,蜜蜂,mì fēng,ผึ้ง,480,竹笋很好,หน่อไม้ดีมาก
民,mín,农民,nóng mín,ชาวนา,481,我帮妈妈扫,ฉันช่วยแม่กวาด
种,zhòng,种树,zhòng shù,ปลูกต้นไม้,482,孩子在草地上,เด็กอยู่บนสนามหญ้า
翻,fān,翻开,fān kāi,เปิด,483,爸爸在拖,พ่อกำลังถู
浇,jiāo,浇水,jiāo shuǐ,รดน้ำ,484,爷爷给花洒,คุณปู่รดน้ำดอกไม้
肥,féi,肥胖,féi pàng,อ้วน,485,吃饭前要洗,ก่อนกินข้าวต้องล้าง
施,shī,施肥,shī féi,ใส่ปุ๋ย,486,衣服洗干净,เสื้อผ้าซักสะอาดแล้ว
除,chú,除草,chú cǎo,ถอนหญ้า,487,小猫喜欢晒太,ลูกแมวชอบอาบแดด
杀,shā,杀虫,shā chóng,กำจัดแมลง,488,秋天农民大丰,ฤดูใบไม้ร่วงชาวนาได้ผลผลิตมาก
如,rú,如果,rú guǒ,ถ้า,489,全国人民都很努,ประชาชนทั่วประเทศขยันมาก
再,zài,再见,zài jiàn,ลาก่อน,490,你去哪儿,คุณจะไปไหน
荷,hé,荷花,hé huā,ดอกบัว,491,盒子里还有一,ในกล่องยังมีอีกหนึ่ง
蝌,kē,蝌蚪,kē dǒu,ลูกอ๊อด,492,门外是,นอกประตูคือใคร
蚪,dǒu,蝌蚪,qīng wā,กบ,493,周末我们去商,วันหยุดสุดสัปดาห์พวกเราไปห้าง
蛙,wā,青蛙,qīng wā,กบ,494,广场上有人跳,ที่ลานกว้างมีคนเต้น
露,lù,露珠,lù zhū,หยดน้ำค้าง,495,书房在楼,ห้องหนังสืออยู่ชั้นบน
蜻,qīng,蜻蜓,qīng tíng,แมลงปอ,496,街道很干,ถนนสะอาด
蜓,tíng,蜻蜓,qīng tíng,แมลงปอ,497,老师讲了一个道,ครูอธิบายเหตุผลหนึ่งข้อ
蝉,chán,蝉鸣,chán míng,เสียงจักจั่น,498,店员很有礼,พนักงานขายสุภาพ
声,shēng,声音,shēng yīn,เสียง,499,鞋子放在门,รองเท้าวางไว้ที่ประตู
音,yīn,音乐,yīn yuè,ดนตรี,500,市场里很热,ในตลาดคึกคักมาก
晨,chén,早晨,zǎo chén,ตอนเช้า,501,早晨，要带着好心情开始新的一天,เช้าแล้ว ควรเริ่มต้นวันใหม่ด้วยอารมณ์ที่ดี
朝,zhāo,朝阳,zhāo yáng,ดวงอาทิตย์ยามเช้า,502,火红的朝阳从海边慢慢升了起来,ดวงอาทิตย์ยามเช้าสีแดงสดค่อย ๆ ลอยขึ้นจากริมทะเล
夕,xī,夕阳,xī yáng,ดวงอาทิตย์ยามเย็น,503,爷爷和奶奶在夕阳下走着,คุณปู่และคุณย่าเดินอยู่ใต้แสงอาทิตย์ยามเย็น
落,luò,落叶,luò yè,ใบไม้ร่วง,504,秋风吹过，地上的落叶飘了起来,ลมฤดูใบไม้ร่วงพัดผ่าน ใบไม้ที่ร่วงบนพื้นก็ปลิวขึ้นมา
傍,bàng,傍晚,bàng wǎn,ช่วงเย็น,505,傍晚，爷爷奶奶带我一起去看夕阳,ยามเย็น คุณปู่คุณย่าพาฉันไปดูพระอาทิตย์ตกด้วยกัน
晚,wǎn,晚上,wǎn shàng,ตอนกลางคืน,506,晚上，爸爸妈妈下班回家了,ตอนกลางคืน พ่อแม่เลิกงานกลับบ้านแล้ว
彩,cǎi,彩虹,cǎi hóng,สายรุ้ง,507,雨后，天空出现了一道弯弯的彩虹,หลังฝนตก ท้องฟ้าก็ปรากฏสายรุ้งโค้งงดงาม
霞,xiá,晚霞,wǎn xiá,แสงยามเย็น,508,朝霞不出门，晚霞行千里,ฟ้ายามเช้ามีแสงแดงไม่ควรออกจากบ้าน ฟ้ายามเย็นมีแสงแดงเดินทางได้ไกล
追,zhuī,追赶,zhuī gǎn,ไล่ตาม,509,我加快脚步追赶前面的大部队,ฉันเร่งฝีเท้าเพื่อไล่ตามกลุ่มคนด้านหน้า
能,néng,能够,néng gòu,สามารถ,510,飞船能够飞到月亮上去,ยานอวกาศสามารถบินไปถึงดวงจันทร์ได้
送,sòng,送给,sòng gěi,ให้,511,我送给好朋友一个生日礼物,ฉันมอบของขวัญวันเกิดให้เพื่อนสนิท
过,guò,过马路,guò mǎ lù,ข้ามถนน,512,过马路时一定要注意安全,ข้ามถนนต้องระมัดระวังความปลอดภัยเสมอ
节,jié,节日,jié rì,วันเทศกาล,513,六一儿童节是孩子们的节日,วันเด็กเป็นวันของเด็ก ๆ
铃,líng,铃声,líng shēng,เสียงกระดิ่ง,514,下课铃声一响，他就冲出了教室,ทันทีที่เสียงกริ่งเลิกเรียนดัง เขาก็วิ่งออกจากห้องเรียน
纸,zhǐ,纸巾,zhǐ jīn,กระดาษทิชชู่,515,家里的纸巾用完了，该买了,กระดาษทิชชู่ที่บ้านใช้หมดแล้ว ควรไปซื้อใหม่
烟,yān,烟火,yān huǒ,ดอกไม้ไฟ,516,小女孩望着窗外的烟火非常开心,เด็กผู้หญิงมองดอกไม้ไฟนอกหน้าต่างอย่างมีความสุขมาก
礼,lǐ,行礼,xíng lǐ,คำนับ,517,古代的小孩见了大人要行礼,เด็กในสมัยโบราณเมื่อพบผู้ใหญ่ต้องคำนับ
蛋,dàn,鸡蛋,jī dàn,ไข่,518,小鸡宝宝是从鸡蛋中出来的,ลูกเจี๊ยบฟักออกมาจากไข่
娃,wá,娃娃,wá wa,ตุ๊กตา,519,我有一个泥娃娃，她从来不说话,ฉันมีตุ๊กตาดินตัวหนึ่ง เธอไม่เคยพูดเลย
糕,gāo,蛋糕,dàn gāo,เค้ก,520,蛋糕真好看，我都舍不得吃了,เค้กสวยมากจนฉันไม่กล้ากิน
滴,dī,水滴,shuǐ dī,หยดน้ำ,521,每个人都像大海中的一颗水滴,ทุกคนก็เหมือนหยดน้ำหนึ่งหยดในทะเล
泉,quán,泉水,quán shuǐ,น้ำพุ,522,山上的洞口有泉水流了出来,ปากถ้ำบนภูเขามีน้ำพุไหลออกมา
溪,xī,小溪,xiǎo xī,ลำธารเล็ก,523,一条小溪从我家门前静静地流过,ลำธารสายหนึ่งไหลผ่านหน้าบ้านฉันอย่างเงียบสงบ
洼,wā,水洼,shuǐ wā,แอ่งน้ำ,524,大雨过后，地上积了很多小水洼,หลังฝนตกหนัก พื้นดินมีแอ่งน้ำเล็ก ๆ มากมาย
江,jiāng,长江,cháng jiāng,แม่น้ำแยงซี,525,长江是中国第一长河,แม่น้ำแยงซีเป็นแม่น้ำที่ยาวที่สุดของจีน
河,hé,河水,hé shuǐ,น้ำในแม่น้ำ,526,河水从上游一直往下流,น้ำในแม่น้ำไหลจากต้นน้ำลงสู่ปลายน้ำ
湖,hú,湖水,hú shuǐ,น้ำในทะเลสาบ,527,湖水中能看到一轮弯弯的月亮,ในน้ำของทะเลสาบสามารถมองเห็นพระจันทร์เสี้ยว
清,qīng,清水,qīng shuǐ,น้ำใส,528,把小金鱼放在清水里吧,เอาปลาทองตัวเล็กใส่ลงในน้ำสะอาดเถอะ
神,shén,神仙,shén xiān,เทพ,529,一位老神仙正在准备施展法术,เซียนชราคนหนึ่งกำลังเตรียมแสดงเวทมนตร์
奇,qí,奇怪,qí guài,แปลกประหลาด,530,这只老虎没有尾巴，真奇怪,เสือตัวนี้ไม่มีหาง แปลกจริง ๆ
求,qiú,求救,qiú jiù,ขอความช่วยเหลือ,531,遇到坏人时要向周围的人求救,เมื่อเจอคนร้ายต้องขอความช่วยเหลือจากคนรอบข้าง
棵,kē,一棵,yī kē,หนึ่งต้น,532,前面有两棵树，其中一棵是果树,ข้างหน้ามีต้นไม้สองต้น หนึ่งในนั้นเป็นต้นไม้ผล
根,gēn,树根,shù gēn,รากไม้,533,一棵大树有树根、树干、树枝和树叶,ต้นไม้ใหญ่ต้นหนึ่งมีราก ลำต้น กิ่ง และใบ
树,shù,树枝,shù zhī,กิ่งไม้,534,秋天，树上的果子把树枝压弯了,ฤดูใบไม้ร่วง ผลไม้บนต้นทำให้กิ่งโค้งงอ
枯,kū,干枯,gān kū,แห้งเหี่ยว,535,一棵千年古树干枯了，真可惜,ต้นไม้โบราณอายุพันปีต้นหนึ่งแห้งตาย น่าเสียดายจริง ๆ
羊,yáng,羊皮,yáng pí,หนังแกะ,536,一只狼穿了一件羊皮大衣,หมาป่าตัวหนึ่งสวมเสื้อขนแกะ
啄,zhuó,啄木鸟,zhuó mù niǎo,นกหัวขวาน,537,一只啄木鸟正在给大树捉虫子,นกหัวขวานตัวหนึ่งกำลังจับแมลงให้ต้นไม้ใหญ่
乌,wū,乌鸦,wū yā,อีกา,538,一群乌鸦成群结队地飞过树林,ฝูงอีกาบินเป็นกลุ่มผ่านป่า
松,sōng,松树,sōng shù,ต้นสน,539,松树一年四季都是绿色的,ต้นสนเขียวตลอดทั้งสี่ฤดู
生,shēng,生活,shēng huó,ชีวิต,540,人们都向往着美好的生活,ผู้คนต่างใฝ่ฝันถึงชีวิตที่ดีงาม
历,lì,日历,rì lì,ปฏิทิน,541,他把这个月重要的事记在了日历上,เขาจดเรื่องสำคัญของเดือนนี้ไว้ในปฏิทิน
期,qī,日期,rì qī,วันที่,542,大家一定要记好活动的日期和时间,ทุกคนต้องจำวันและเวลาของกิจกรรมให้ดี
昨,zuó,昨天,zuó tiān,เมื่อวาน,543,昨天的天气热得人哪儿也不想去,เมื่อวานอากาศร้อนมากจนไม่อยากไปไหนเลย
新,xīn,新年,xīn nián,ปีใหม่,544,新年到，穿新衣，小朋友们哈哈笑,ปีใหม่มาถึง ใส่เสื้อผ้าใหม่ เด็ก ๆ หัวเราะอย่างมีความสุข
过,guò,过年,guò nián,ฉลองปีใหม่,545,过年了，我和家人吃了很多好吃的,ถึงเทศกาลปีใหม่ ฉันและครอบครัวกินของอร่อยมากมาย
表,biǎo,手表,shǒu biǎo,นาฬิกาข้อมือ,546,她捡到一块手表，把它还给了主人,เธอเก็บได้นาฬิกาเรือนหนึ่งแล้วนำไปคืนเจ้าของ
时,shí,时间,shí jiān,เวลา,547,时间一天天过得真快,เวลาผ่านไปเร็วจริง ๆ
数,shù,数一数,shǔ yī shǔ,นับดู,548,数一数，五星红旗上有几颗星星,ลองนับดูสิ บนธงชาติแดงมีดาวกี่ดวง
写,xiě,写字,xiě zì,เขียนตัวอักษร,549,孩子在屋里认真地学习写字呢,เด็กกำลังตั้งใจฝึกเขียนหนังสืออยู่ในห้อง
久,jiǔ,久远,jiǔ yuǎn,ยาวนาน,550,这个房子年代久远，有些破旧了,บ้านหลังนี้เก่าแก่มาก ดูทรุดโทรมไปบ้าง
响,xiǎng,音响,yīn xiǎng,เครื่องเสียง,551,那家电影院的音响真不错,โรงภาพยนตร์แห่งนั้นระบบเสียงดีจริง ๆ
听,tīng,听见,tīng jiàn,ได้ยิน,552,我听见树上有小鸟的叫声,ฉันได้ยินเสียงนกร้องบนต้นไม้
叫,jiào,叫声,jiào shēng,เสียงร้อง,553,树林里经常能听到小鸟的叫声,ในป่ามักจะได้ยินเสียงนกร้องเสมอ
吸,xī,吸气,xī qì,สูดลมหายใจ,554,在困难面前要乐观，不要总吸气,เมื่อเผชิญกับความยากลำบากต้องมองโลกในแง่ดี อย่าท้อแท้
喊,hǎn,叫喊,jiào hǎn,ตะโกน,555,我们在公共场合不要大声叫喊,ในที่สาธารณะไม่ควรตะโกนเสียงดัง
欠,qiàn,哈欠,hā qiàn,หาว,556,他困了，打了一个大大的哈欠,เขาง่วงแล้ว หาวออกมาครั้งใหญ่
吸,xī,吸管,xī guǎn,หลอดดูด,557,这个瓶口太小了，用吸管喝容易些,ปากขวดนี้เล็กเกินไป ใช้หลอดดูดจะดื่มง่ายกว่า
呼,hū,呼唤,hū huàn,เรียก,558,他在山谷里大声呼唤着同伴的名字,เขาตะโกนเรียกชื่อเพื่อนร่วมทางในหุบเขาเสียงดัง
说,shuō,说话,shuō huà,พูด,559,宝宝一岁了，还不会说话,เด็กน้อยอายุหนึ่งขวบแล้วยังพูดไม่ได้
话,huà,说话,shuō huà,พูด,560,在公共场合不要大声说话,ในที่สาธารณะไม่ควรพูดเสียงดัง
坡,pō,土坡,tǔ pō,เนินดิน,561,一只大灰狼正趴在土坡上等着小羊,หมาป่าสีเทาตัวใหญ่กำลังหมอบรอแกะอยู่บนเนินดิน
注,zhù,注意,zhù yì,ระวัง,562,用完水要注意及时关闭水龙头,ใช้เสร็จแล้วอย่าลืมปิดก๊อกน้ำให้สนิท
意,yì,意思,yì si,ความหมาย,563,我不太明白这句话的意思,ฉันยังไม่ค่อยเข้าใจความหมายของประโยคนี้
走,zǒu,走路,zǒu lù,เดิน,564,公园很近，可以走路去,สวนสาธารณะอยู่ใกล้ สามารถเดินไปได้
停,tíng,停车,tíng chē,จอดรถ,565,车位满了，换个地方停车吧,ที่จอดรถเต็มแล้ว ไปจอดที่อื่นเถอะ
辆,liàng,车辆,chē liàng,ยานพาหนะ,566,这条路上很少有车辆来往,ถนนสายนี้แทบไม่มีรถผ่านไปมา
道,dào,道路,dào lù,ถนน,567,人生的道路上会遇见很多困难,บนเส้นทางชีวิตจะต้องพบกับอุปสรรคมากมาย
直,zhí,笔直,bǐ zhí,ตรง,568,一座大楼笔直地立在城市中心,ตึกสูงหลังหนึ่งตั้งตระหง่านอยู่กลางเมือง
定,dìng,定住,dìng zhù,ตรึงไว้,569,这个木头人定住了，不能动了,หุ่นไม้ตัวนี้หยุดนิ่ง ขยับไม่ได้แล้ว
幸,xìng,幸运,xìng yùn,โชคดี,570,希望幸运之神光顾世界上每一个人,หวังว่าเทพเจ้าแห่งโชคดีจะมาเยือนทุกคนบนโลก
影,yǐng,影子,yǐng zi,เงา,571,影子的长短随着太阳的位置而变化,ความยาวของเงาเปลี่ยนไปตามตำแหน่งของดวงอาทิตย์
样,yàng,样子,yàng zi,ลักษณะ,572,这个木头玩具是一只小羊的样子,ของเล่นไม้ชิ้นนี้มีรูปร่างเป็นลูกแกะตัวเล็ก
边,biān,外边,wài biān,ด้านนอก,573,今天天气很好，去外边玩吧,วันนี้อากาศดีมาก ออกไปเล่นข้างนอกกันเถอะ
外,wài,门外,mén wài,นอกประตู,574,小白兔把大灰狼关在了门外,กระต่ายขาวขังหมาป่าสีเทาไว้ข้างนอกประตู
远,yuǎn,远方,yuǎn fāng,ที่ไกล,575,有一天，我要去远方看看,สักวันหนึ่งฉันจะไปดูโลกกว้างไกล
走,zǒu,走近,zǒu jìn,เดินเข้าใกล้,576,有人走近时，小鸟就飞走了,เมื่อมีคนเข้าใกล้ นกก็จะบินหนีไป
左,zuǒ,左手,zuǒ shǒu,มือซ้าย,577,用左手吃饭的人不太多,คนที่ใช้มือซ้ายกินข้าวมีไม่มาก
右,yòu,右手,yòu shǒu,มือขวา,578,左手和右手，两个好朋友,มือซ้ายและมือขวาเป็นเพื่อนที่ดีต่อกัน
前,qián,前面,qián miàn,ด้านหน้า,579,爷爷家前面有一棵果树,หน้าบ้านคุณปู่มีต้นไม้ผลต้นหนึ่ง
后,hòu,后面,hòu miàn,ด้านหลัง,580,一只小猫在门后面吃东西,ลูกแมวตัวหนึ่งกำลังกินอาหารอยู่หลังประตู
蛛,zhū,蜘蛛,zhī zhū,แมงมุม,581,一只蜘蛛在树上织了一张很大的网,แมงมุมตัวหนึ่งชักใยขนาดใหญ่บนต้นไม้
蛛,zhū,蜘蛛,zhī zhū,แมงมุม,582,蜘蛛白天在蜘蛛网上睡觉,แมงมุมนอนหลับอยู่บนใยในเวลากลางวัน
蚊,wén,蚊子,wén zi,ยุง,583,窗户没关好，屋里进了很多蚊子,หน้าต่างปิดไม่สนิท ยุงเข้ามาในบ้านมากมาย
山,shān,山洞,shān dòng,ถ้ำ,584,那儿有一个很大的山洞,ที่นั่นมีถ้ำขนาดใหญ่มากแห่งหนึ่ง
丝,sī,丝线,sī xiàn,เส้นไหม,585,纺车上挂着又细又长的丝线,บนหลอดปั่นด้ายแขวนเส้นไหมที่บางและยาว
蚂,mǎ,蚂蚁,mǎ yǐ,มด,586,小蚂蚁们正忙着运送过冬的食物,มดตัวเล็ก ๆ กำลังขนอาหารเตรียมไว้สำหรับฤดูหนาว
蚁,yǐ,蚂蚁,mǎ yǐ,มด,587,小蚂蚁能举起比自己还重的东西,มดตัวเล็กสามารถยกของที่หนักกว่าตัวเองได้
蛇,shé,小蛇,xiǎo shé,งูตัวเล็ก,588,小蛇一口吃掉了洞口的小虫子,งูตัวเล็กกลืนแมลงตรงปากถ้ำในคำเดียว
壁,bì,壁虎,bì hǔ,จิ้งจก,589,看！墙壁上趴着一只小壁虎,ดูสิ มีจิ้งจกตัวเล็กเกาะอยู่บนผนัง
怪,guài,怪物,guài wù,สัตว์ประหลาด,590,这是从哪里来的小怪物,สัตว์ประหลาดตัวเล็กนี้มาจากไหนกัน
队,duì,站队,zhàn duì,เข้าแถว,591,站队时大个子一般站在后面,เวลาเข้าแถว คนตัวสูงมักจะยืนอยู่ข้างหลัง
进,jìn,进去,jìn qù,เข้าไป,592,前面有口水井，小心不要掉进去,ข้างหน้ามีบ่อน้ำ ระวังอย่าตกลงไป
铁,tiě,钢铁,gāng tiě,เหล็กกล้า,593,他们是从战斗中冲杀出的钢铁战士,พวกเขาเป็นนักรบเหล็กกล้าที่ฝ่าฟันออกมาจากสนามรบ
站,zhàn,车站,chē zhàn,สถานี,594,很多人在公交车站旁边排队等车,มีคนจำนวนมากเข้าแถวรอรถอยู่ข้างป้ายรถเมล์
入,rù,进入,jìn rù,เข้าไป,595,她躺在床上，很快就进入了梦乡,เธอนอนอยู่บนเตียงและหลับไปอย่างรวดเร็ว
票,piào,门票,mén piào,ตั๋วเข้า,596,去公园玩要先买门票,ไปเที่ยวสวนสาธารณะต้องซื้อตั๋วก่อน
扶,fú,扶手,fú shǒu,ที่จับ,597,墙边有一个沙发和几把扶手椅,ข้างกำแพงมีโซฟาหนึ่งตัวและเก้าอี้มีที่วางแขนหลายตัว
乘,chéng,乘凉,chéng liáng,นั่งรับลม,598,两个小朋友坐在大树底下乘凉,เด็กสองคนนั่งพักผ่อนใต้ต้นไม้ใหญ่
坐,zuò,宝座,bǎo zuò,บัลลังก์,599,国王坐在自己的宝座上,กษัตริย์ประทับนั่งบนบัลลังก์ของตน
位,wèi,座位,zuò wèi,ที่นั่ง,600,同学们都在自己的座位上坐好了,นักเรียนทุกคนนั่งประจำที่ของตนเรียบร้อยแล้ว
城,chéng,城市,chéng shì,เมือง,601,北京是一座美丽的城市。,ปักกิ่งเป็นเมืองที่สวยงาม
向,xiàng,方向,fāng xiàng,ทิศทาง,602,看！那里是太阳升起的方向。,ดูสิ นั่นคือทิศทางที่ดวงอาทิตย์ขึ้น
南,nán,南边,nán biān,ด้านทิศใต้,603,公园南边有一个大广场。,ทางทิศใต้ของสวนสาธารณะมีลานกว้างขนาดใหญ่แห่งหนึ่ง
北,běi,北极,běi jí,ขั้วโลกเหนือ,604,我在极地海洋世界认识了北极熊。,ฉันได้รู้จักหมีขั้วโลกที่โลกมหาสมุทรขั้วโลก
以,yǐ,可以,kě yǐ,สามารถ,605,夏天可以穿很凉快的衣服。,ฤดูร้อนสามารถสวมเสื้อผ้าที่บางสบายได้
图,tú,图画,tú huà,ภาพวาด,606,大雪后的冬天美得像图画一样。,ฤดูหนาวหลังหิมะตกหนักสวยงามราวกับภาพวาด
东,dōng,东边,dōng biān,ด้านทิศตะวันออก,607,早上，太阳从东边升起。,ตอนเช้า ดวงอาทิตย์ขึ้นจากทางทิศตะวันออก
西,xī,西边,xī biān,ด้านทิศตะวันตก,608,下午，太阳在我们的西边。,ตอนบ่าย ดวงอาทิตย์อยู่ทางทิศตะวันตกของพวกเรา
邓,dèng,邓老师,dèng lǎo shī,ครูเติ้ง,609,邓老师是我们班的数学老师。,ครูเติ้งเป็นครูสอนคณิตศาสตร์ของชั้นเรา
为,wèi,为了,wèi le,เพื่อ,610,为了学好游泳，我报了游泳班。,เพื่อให้ว่ายน้ำเก่งขึ้น ฉันจึงสมัครเรียนว่ายน้ำ
困,kùn,困住,kùn zhù,ขัดขวางไว้,611,大雨困住了正要下班回家的人们。,ฝนตกหนักทำให้ผู้คนที่กำลังจะเลิกงานกลับบ้านติดอยู่
感,gǎn,感人,gǎn rén,ซาบซึ้งใจ,612,这个感人的故事被拍成了电影。,เรื่องราวที่ซาบซึ้งนี้ถูกนำไปสร้างเป็นภาพยนตร์
卫,wèi,卫生,wèi shēng,สุขอนามัย,613,快过年了，我和妈妈一起打扫卫生。,ใกล้ถึงตรุษจีนแล้ว ฉันกับแม่ช่วยกันทำความสะอาด
悄,qiāo,静悄悄,jìng qiāo qiāo,เงียบสงบ,614,天黑了，月亮出来了，外面静悄悄的。,ฟ้ามืดแล้ว พระจันทร์ออกมา ข้างนอกเงียบสงบ
应,yīng,应该,yīng gāi,ควรจะ,615,他们应该是在为六一儿童节做准备。,พวกเขาน่าจะกำลังเตรียมงานวันเด็ก
象,xiàng,大象,dà xiàng,ช้าง,616,大象有大大的耳朵，长长的鼻子。,ช้างมีหูใหญ่ ๆ และงวงยาว ๆ
器,qì,机器,jī qì,เครื่องจักร,617,机器可以帮助人们完成很多事情。,เครื่องจักรสามารถช่วยผู้คนทำหลายสิ่งให้สำเร็จได้
逃,táo,逃走,táo zǒu,หนีไป,618,看见老虎走来，小羊惊慌地逃走了。,เมื่อเห็นเสือเดินมา แกะน้อยก็ตกใจหนีไป
吵,chǎo,争吵,zhēng chǎo,ทะเลาะ,619,两只小猴子为了一根香蕉争吵起来。,ลิงน้อยสองตัวทะเลาะกันเพราะกล้วยลูกหนึ่ง
北,běi,北门,běi mén,ประตูเหนือ,620,我们明天早上在公园北门见面。,พรุ่งนี้เช้าเรานัดเจอกันที่ประตูเหนือของสวนสาธารณะ
因,yīn,因为,yīn wèi,เพราะว่า,621,他今天没有去学校，因为生病了。,วันนี้เขาไม่ได้ไปโรงเรียน เพราะป่วย
迎,yíng,迎接,yíng jiē,ต้อนรับ,622,人们弯腰行礼，迎接大王回城。,ผู้คนก้มตัวคำนับเพื่อต้อนรับกษัตริย์กลับเมือง
知,zhī,知识,zhī shí,ความรู้,623,看书可以让人们学会很多知识。,การอ่านหนังสือทำให้ผู้คนได้เรียนรู้ความรู้มากมาย
却,què,忘却,wàng què,ลืมเลือน,624,很多事情是不能忘却的。,หลายสิ่งหลายอย่างไม่อาจลืมเลือนได้
忙,máng,急忙,jí máng,รีบร้อน,625,爸爸把我送到学校就急忙上班去了。,พ่อส่งฉันถึงโรงเรียนแล้วรีบไปทำงาน
投,tóu,投篮,tóu lán,โยนลูกบาส,626,他每次投篮都能把球投进去。,เขายิงลูกบาสทุกครั้งก็ลงห่วง
思,sī,思念,sī niàn,คิดถึง,627,海外游子无时无刻不在思念祖国。,ชาวจีนในต่างแดนคิดถึงบ้านเกิดตลอดเวลา
名,míng,名字,míng zi,ชื่อ,628,我们都有一个家，名字叫中国。,เราทุกคนมีบ้านหนึ่งเดียว ชื่อว่าประเทศจีน
片,piàn,照片,zhào piàn,รูปถ่าย,629,大家出去玩，拍了很多照片。,ทุกคนออกไปเที่ยวและถ่ายรูปกันมากมาย
国,guó,国王,guó wáng,กษัตริย์,630,国王身上有一块宝玉。,บนร่างกายของกษัตริย์มีหยกชิ้นหนึ่ง
作,zuò,作业,zuò yè,การบ้าน,631,先写完作业，再出去玩。,ทำการบ้านให้เสร็จก่อน แล้วค่อยออกไปเล่น
业,yè,作业,zuò yè,การบ้าน,632,自己的作业要自己完成。,การบ้านของตัวเองต้องทำเอง
息,xī,休息,xiū xī,พักผ่อน,633,爸爸妈妈工作了一天，好好休息吧。,พ่อแม่ทำงานมาทั้งวัน ควรพักผ่อนให้ดี
更,gèng,更好,gèng hǎo,ดีกว่าเดิม,634,花儿有了阳光才能更好地生长。,ดอกไม้ต้องมีแสงแดดจึงจะเติบโตได้ดี
告,gào,告诉,gào sù,บอก,635,小牛告诉大家自己的尾巴不见了。,ลูกวัวบอกทุกคนว่าหางของตัวเองหายไป
舍,shě,不舍,bù shě,ไม่อยากจาก,636,妈妈要去上班，宝宝不舍地哭了。,แม่ต้องไปทำงาน เด็กร้องไห้เพราะไม่อยากจาก
留,liú,留下,liú xià,ทิ้งไว้,637,老国王给王子们留下了很多珠宝。,กษัตริย์ชราทิ้งเครื่องประดับอัญมณีไว้ให้เจ้าชายมากมาย
诉,sù,告诉,gào sù,บอก,638,爷爷告诉了我很多过去的事。,คุณปู่เล่าเรื่องในอดีตให้ฉันฟังหลายเรื่อง
赶,gǎn,赶快,gǎn kuài,รีบเร็ว,639,天黑了，赶快回家吧！,ฟ้ามืดแล้ว รีบกลับบ้านเถอะ
塔,tǎ,高塔,gāo tǎ,หอคอยสูง,640,上海有一座高塔，叫做东方明珠。,เซี่ยงไฮ้มีหอคอยสูงแห่งหนึ่ง ชื่อว่าหอไข่มุกตะวันออก
未,wèi,未来,wèi lái,อนาคต,641,人人都想有一个美好的未来。,ทุกคนต่างอยากมีอนาคตที่ดี
万,wàn,一万,yí wàn,หนึ่งหมื่น,642,万里长城有一万多里那么长。,กำแพงเมืองจีนยาวกว่าหนึ่งหมื่นลี้
千,qiān,千斤,qiān jīn,หนึ่งพันจิน,643,这个大力士能举起上千斤的东西。,นักยกน้ำหนักผู้นี้สามารถยกของหนักหลายพันจินได้
领,lǐng,将领,jiāng lǐng,แม่ทัพ,644,大家都很看好这位青年将领。,ทุกคนต่างเชื่อมั่นในแม่ทัพหนุ่มคนนี้
结,jié,中国结,zhōng guó jié,ปมจีน,645,我们一起用红线做个中国结。,พวกเราใช้เชือกสีแดงทำปมจีนด้วยกัน
错,cuò,拿错,ná cuò,หยิบผิด,646,有人拿错了我的杯子和毛巾吧！,มีคนหยิบแก้วน้ำและผ้าเช็ดตัวของฉันผิดไปหรือเปล่า
百,bǎi,百合,bǎi hé,ดอกลิลลี่,647,房间里有一束白色的百合花。,ในห้องมีดอกลิลลี่สีขาวหนึ่งช่อ
然,rán,自然,zì rán,ธรรมชาติ,648,我们要爱护大自然的一草一木。,เราต้องดูแลธรรมชาติ ทุกต้นหญ้าและทุกต้นไม้
忽,hū,忽然,hū rán,ทันใดนั้น,649,刚才还风和日丽的，忽然下起雨来。,เมื่อครู่ยังอากาศดีอยู่ ทันใดนั้นฝนก็ตกลงมา
从,cóng,从来,cóng lái,ตั้งแต่เคยมา,650,我从来没去过大森林。,ฉันไม่เคยไปป่าใหญ่เลย
